Density,Slope,Elev.m,Ave.temp,Ave.ppt,Pct.graze,Pct.grass,Road.dens
0.024,22.1,7746,1.4,69.4,24.7,75.3,0.52
0,32.5,7517,1.9,47.3,2.6,59.7,0.53
0,24,6380,4.7,29.7,100,13.6,0.52
0,23.2,6796,3.6,38,100,50,0.87
0.037,27.4,7636,2.1,44.8,90,66.7,0.41
0.029,25.4,7268,2.9,43.9,100,38.9,0.53
0.017,15.2,5484,6.2,19,73,66,1.46
0,12.1,5814,5.6,21.3,65.3,67.4,1.82
0.038,37.7,5006,5.2,45,0,90,1.08
0.084,31.8,6487,3,61.3,70.9,91.1,0.88
0,31.4,5148,5.5,39.5,100,73.2,1
0.026,30,5667,4,50.9,97.1,87.4,2.35
0.048,29.5,6460,2.8,61.1,0,95.3,1.36
0.107,22.4,6982,3.1,52,99.1,71.3,0.74
0.23,24.4,7122,3.1,53.3,100,47.6,0.35
0.074,27.5,6752,3.7,49.7,72.5,92.2,0.56
0.034,23.9,7297,2.7,58.1,100,92.7,0.95
0,20.5,6963,3.2,54.8,100,95.5,1.6
0.045,19.5,7575,2,68.7,100,100,0.96
0,16.6,7459,2.1,62.5,100,100,1.21
0.007,29.9,6493,3.9,50.2,45.3,99.1,0.98
0.001,36.4,5561,4.9,44.9,57.3,94.5,0.85
0,37.9,6278,3.3,58.9,92.2,100,0.22
0,16.6,6252,4.9,28.9,64.3,71.4,1.28
0,15.3,6309,4.7,32.9,75,69.6,1.51
0,10.5,6308,4.9,28.6,59,41,1.94
0.001,13.9,6951,3.9,39.5,63.6,74,1.69
0,16.9,6871,3.7,38.8,78,95.1,1.68
0.005,16.7,6167,4.9,28.8,73.5,42.9,1.36
0.188,31,8267,1.9,58,100,74,0.07
0.351,30.1,8263,2.2,55.1,100,73.1,0.29
0.041,40.6,6502,2.3,47.8,0,91.8,0.01
0.009,36.2,7756,-0.6,58.6,0,87.1,0.01
0,37.4,7410,0.5,51.5,0,100,0.01
0.022,36.9,7240,1.4,54.3,43,90,0.12
0.006,39.1,6609,3,44,0,97.1,0.01
0.015,39.3,7919,0,56.3,4.5,77.3,0.01
0.035,38.1,8338,-0.7,63.3,2.2,65.2,0.01
0.035,38.4,7927,0.9,65.1,1.9,68.5,0.02
0.012,33.4,7669,1.9,95,21.2,75.8,0.24
0.034,18.7,7368,2.3,73.3,18.2,98.2,0.6
0.006,16.1,7308,2.1,70.2,44.2,81.2,1.24
0.038,26.2,7598,1.7,94.3,100,83.6,0.75
0.009,35.2,7042,2,77.2,0,60.3,0.01
0,32.3,7078,2.4,93.5,0,71.8,0.01
0.019,35.1,6714,2.6,88.7,0,83.9,0.01
0.003,31.2,7557,1.5,114.2,83,73.6,0.15
0,16.8,6930,2.4,91,98.6,62.3,0.67
0,17,7216,2.2,99,100,99,0.29
0.091,13.3,7108,2.4,91.8,100,100,0.6
0.01,14.4,6901,2.3,94.6,100,100,0.26
0.002,15.7,7100,2.3,108.4,91.4,59,0.01
0,15.9,6915,2.3,96.3,100,71.2,0.31
0.009,26.7,6989,2.6,104.6,0,79.2,0.05
0,24.1,7312,1.8,129.4,37.9,98.3,0.14
0.043,38.7,6828,2.2,92.8,0,89.3,0.01
0.058,35.4,7488,0.8,121.3,0,90.4,0.01
0.025,36.7,6508,2.3,55.6,0,72.3,0.05
0.027,34.9,7378,0.5,91.9,0,65.1,0.01
0,34.7,6948,1.2,70.7,0,97.4,0.01
0.041,37.5,7126,1,63,0,50,0.01
0.008,36.6,6356,2.9,62,0,95.2,0.01
0,35.7,6426,2.6,56.1,0,46.3,0.01
0.008,40.4,6201,3.4,48.9,0,45.5,0.01
0.007,39.9,5951,3.9,43.7,0,86.3,0.01
0,38.9,6055,3.2,47.8,0,76.9,0.04
0,39,6211,3.6,49.4,0,60.6,0.05
0,44.9,6283,3,61.9,0,42.9,0.01
0,45.5,5704,4.5,47.7,0,25.8,0.01
0,40.5,5787,3.1,53,0,50.9,0.01
0.002,42.7,5462,4,46.3,0,73.5,0.01
0,41.7,5997,3.6,46.8,1.4,50.7,0.04
0.016,32.5,7219,1.5,45.1,8.2,95.9,0.03
0.114,37,7522,0,53.1,2,87,0.01
0.017,41,6193,3,44.9,0,74.3,0.01
0.018,36.7,6895,2.3,48.2,32.4,85.3,0.05
0,42.1,5769,3.7,43.9,36.5,50,0.02
0,40.1,5871,4.2,39.9,40.4,53.2,0.01
0.027,39.3,6437,2.3,61.7,0,84.7,0.01
0.464,37.7,7116,0.8,73.9,0,100,0.01
0.219,35.3,7034,1.1,72.7,0,93.4,0.01
0.037,36,6935,2,86.7,0,92.4,0.01
0.026,28.2,7356,0,103.1,0,90,0.28
0,32.7,7367,0.5,112.3,0,53.2,0.11
0.031,38.1,6184,2.7,86,0,83.7,0.01
0.029,43.4,6527,2,107.6,0,69.2,0.1
